iter	Logloss
0	0.5960348174
1	0.5329921726
2	0.4854108537
3	0.4462585395
4	0.4069825156
5	0.3762931996
6	0.3559026859
7	0.3265686969
8	0.3128098389
9	0.2972003126
10	0.2858223766
11	0.2706705839
12	0.2585145058
13	0.2477038768
14	0.2431684056
15	0.2363376731
16	0.2288259569
17	0.2223574563
18	0.2186772894
19	0.2124186153
20	0.2072734828
21	0.2026918338
22	0.1983455841
23	0.1964249639
24	0.1919578628
25	0.1893793923
26	0.1869016504
27	0.1831722153
28	0.1813254171
29	0.1789212463
30	0.1770505476
31	0.174743264
32	0.171934344
33	0.169601308
34	0.1666127059
35	0.1655005534
36	0.1647394357
37	0.1634365225
38	0.1616130323
39	0.1600404785
40	0.1589054031
41	0.1581154689
42	0.1564585912
43	0.1558783019
44	0.1541501249
45	0.1536936512
46	0.152312771
47	0.1516509804
48	0.1508957122
49	0.1502738823
50	0.1495556189
51	0.1487603627
52	0.1481834625
53	0.1481009318
54	0.1476131068
55	0.1471617536
56	0.1469179676
57	0.1458279217
58	0.1455719258
59	0.1450713235
60	0.1446929095
61	0.1445910574
62	0.1443374801
63	0.1435949992
64	0.1433544309
65	0.142982163
66	0.1428024121
67	0.1423393377
68	0.1420201938
69	0.1419864484
70	0.1418607606
71	0.1417124094
72	0.1415270314
73	0.1412087422
74	0.141168691
75	0.1408980195
76	0.1408512182
77	0.1407984013
78	0.1407603325
79	0.1403980914
80	0.1401975847
81	0.1396192488
82	0.1394511033
83	0.1391261131
84	0.1390855122
85	0.1386364446
86	0.1385962271
87	0.1385574721
88	0.1380247807
89	0.1378962972
90	0.1378711803
91	0.1378305741
92	0.1377628078
93	0.1377180269
94	0.1376784099
95	0.1376357924
96	0.1375974547
97	0.1375481983
98	0.1372489103
99	0.1372074553
100	0.1371917478
101	0.1371523025
102	0.1371172309
103	0.1369002936
104	0.1368611816
105	0.1368117713
106	0.1367841178
107	0.1367502151
108	0.1365883699
109	0.1365629912
110	0.1364899161
111	0.1363811245
112	0.1363406855
113	0.1363013109
114	0.1362659378
115	0.1360528756
116	0.136021451
117	0.1358523725
118	0.1356568119
119	0.1355248587
120	0.1353176741
121	0.1351740449
122	0.1350623867
123	0.1350204735
124	0.1348306575
125	0.1347858161
126	0.1346900884
127	0.1346571683
128	0.1345758711
129	0.1345339391
130	0.1343896326
131	0.1343553308
132	0.1342081644
133	0.1341775954
134	0.1341571235
135	0.1340512029
136	0.134018928
137	0.1338383032
138	0.1336537368
139	0.133314149
140	0.1332433129
141	0.1331356585
142	0.1328104102
143	0.1326768368
144	0.1325388704
145	0.1323963097
146	0.1323659576
147	0.132334774
148	0.1322229031
149	0.1322009649
150	0.1321636489
151	0.1320491664
152	0.1320105092
153	0.1318948971
154	0.1318700255
155	0.131834742
156	0.131686732
157	0.1315697877
158	0.1314801708
159	0.1314518117
160	0.1314154185
161	0.1313903197
162	0.131360061
163	0.1313286202
164	0.1312969664
165	0.1312631779
166	0.1312403354
167	0.1312065002
168	0.1310545599
169	0.1310221592
170	0.1309914872
171	0.1309730555
172	0.1308477074
173	0.130813706
174	0.1307945153
175	0.1307544964
176	0.1307147125
177	0.1306957388
178	0.1306635239
179	0.1306382794
180	0.1306006008
181	0.1305688625
182	0.1305358609
183	0.1304221955
184	0.1303143822
185	0.1302835064
186	0.1302524164
187	0.1302303432
188	0.1302056834
189	0.1300771575
190	0.1300543262
191	0.1300289135
192	0.130010387
193	0.129983034
194	0.1299636069
195	0.1299293505
196	0.129906369
197	0.1298940494
198	0.1298591007
199	0.1298318609
200	0.1297280092
201	0.1297019056
202	0.1296842928
203	0.1296602075
204	0.1295778255
205	0.1295503343
206	0.1295274851
207	0.1295017277
208	0.1294769499
209	0.1294017357
210	0.129374591
211	0.12935202
212	0.1293251345
213	0.1292315763
214	0.1292070797
215	0.129178866
216	0.1291583179
217	0.1291351121
218	0.1291061242
219	0.1290816672
220	0.1290552173
221	0.1290306129
222	0.1289905926
223	0.1289515461
224	0.1289306583
225	0.1289084656
226	0.1288906351
227	0.1288667693
228	0.1288347413
229	0.1288109764
230	0.1287908579
231	0.1287683981
232	0.1287494024
233	0.1287241183
234	0.1286539608
235	0.1286377064
236	0.1285639886
237	0.1285504794
238	0.1285181092
239	0.1284963654
240	0.1284751592
241	0.1283723623
242	0.1283488659
243	0.1283296092
244	0.128308841
245	0.1282843984
246	0.1282527098
247	0.1282273333
248	0.1282046168
249	0.1281772079
250	0.1281578088
251	0.1281376444
252	0.1280596362
253	0.1280320225
254	0.1280097658
255	0.1279855938
256	0.1279668992
257	0.1279439738
258	0.1279218483
259	0.1279061434
260	0.1278823926
261	0.1278660261
262	0.1277951034
263	0.1277804917
264	0.1277591075
265	0.1277433752
266	0.1277203227
267	0.1276941187
268	0.1276764821
269	0.1276493929
270	0.1276259652
271	0.1276079839
272	0.1275834587
273	0.1275514007
274	0.1275091734
275	0.1274710337
276	0.1274508951
277	0.127414433
278	0.1273993678
279	0.1273803778
280	0.1273499766
281	0.1273366004
282	0.1273295651
283	0.1273162246
284	0.1272985048
285	0.1272812919
286	0.1272531642
287	0.1272391058
288	0.1272039153
289	0.1271803383
290	0.1271477525
291	0.1271211786
292	0.1270922619
293	0.1270684325
294	0.1270492047
295	0.1270349662
296	0.1270239003
297	0.126943579
298	0.1269322015
299	0.1269133434
