iter	Passed	Remaining
0	212	63470
1	240	35848
2	269	26632
3	298	22060
4	327	19339
5	359	17627
6	389	16300
7	421	15395
8	454	14683
9	485	14072
10	509	13391
11	535	12846
12	561	12398
13	588	12024
14	616	11710
15	645	11466
16	676	11265
17	705	11050
18	733	10846
19	765	10715
20	795	10563
21	825	10435
22	855	10301
23	883	10162
24	909	10008
25	936	9864
26	960	9707
27	986	9582
28	1015	9486
29	1043	9394
30	1072	9309
31	1103	9240
32	1131	9157
33	1159	9068
34	1184	8965
35	1217	8929
36	1247	8870
37	1277	8808
38	1308	8759
39	1337	8696
40	1365	8627
41	1390	8538
42	1418	8479
43	1450	8441
44	1481	8392
45	1511	8344
46	1541	8299
47	1574	8265
48	1604	8216
49	1634	8173
50	1670	8156
51	1696	8089
52	1720	8017
53	1743	7940
54	1767	7874
55	1792	7811
56	1817	7748
57	1844	7694
58	1869	7634
59	1893	7574
60	1923	7537
61	1953	7498
62	1982	7457
63	2016	7435
64	2052	7420
65	2088	7405
66	2121	7377
67	2149	7334
68	2175	7284
69	2202	7237
70	2230	7192
71	2255	7142
72	2282	7096
73	2308	7051
74	2338	7014
75	2368	6981
76	2395	6936
77	2425	6903
78	2453	6863
79	2481	6823
80	2506	6775
81	2534	6739
82	2565	6706
83	2599	6684
84	2632	6658
85	2668	6639
86	2698	6607
87	2723	6560
88	2754	6531
89	2780	6488
90	2803	6437
91	2828	6394
92	2854	6354
93	2883	6319
94	2914	6289
95	2953	6276
96	2986	6249
97	3020	6226
98	3052	6196
99	3076	6152
100	3101	6111
101	3125	6066
102	3148	6022
103	3174	5982
104	3200	5943
105	3224	5901
106	3250	5863
107	3274	5821
108	3304	5789
109	3334	5758
110	3364	5729
111	3393	5695
112	3423	5665
113	3452	5632
114	3476	5591
115	3503	5557
116	3529	5521
117	3557	5486
118	3583	5450
119	3608	5413
120	3636	5379
121	3664	5346
122	3689	5309
123	3715	5273
124	3741	5237
125	3763	5197
126	3788	5160
127	3813	5124
128	3838	5087
129	3862	5050
130	3891	5020
131	3922	4991
132	3951	4962
133	3976	4926
134	4000	4890
135	4027	4856
136	4050	4818
137	4075	4784
138	4100	4749
139	4125	4715
140	4151	4681
141	4177	4648
142	4202	4614
143	4227	4579
144	4251	4545
145	4277	4512
146	4301	4477
147	4325	4442
148	4351	4410
149	4375	4375
150	4399	4340
151	4424	4307
152	4448	4273
153	4474	4241
154	4497	4207
155	4520	4172
156	4545	4139
157	4568	4105
158	4593	4073
159	4617	4040
160	4642	4007
161	4666	3975
162	4690	3942
163	4715	3910
164	4739	3877
165	4765	3846
166	4789	3814
167	4814	3782
168	4840	3751
169	4864	3720
170	4896	3693
171	4921	3662
172	4946	3631
173	4971	3600
174	4994	3567
175	5018	3535
176	5042	3504
177	5067	3473
178	5090	3441
179	5114	3409
180	5139	3378
181	5163	3347
182	5188	3316
183	5213	3286
184	5237	3255
185	5261	3224
186	5285	3193
187	5308	3162
188	5332	3131
189	5355	3100
190	5377	3068
191	5404	3040
192	5427	3009
193	5451	2978
194	5474	2947
195	5498	2917
196	5524	2888
197	5546	2857
198	5571	2827
199	5594	2797
200	5619	2767
201	5645	2738
202	5670	2709
203	5694	2679
204	5717	2649
205	5742	2620
206	5766	2590
207	5789	2560
208	5814	2531
209	5838	2502
210	5862	2472
211	5886	2443
212	5912	2414
213	5936	2385
214	5966	2358
215	5990	2329
216	6014	2300
217	6037	2271
218	6060	2241
219	6085	2213
220	6110	2184
221	6135	2155
222	6160	2127
223	6188	2099
224	6214	2071
225	6239	2043
226	6263	2014
227	6287	1985
228	6312	1957
229	6336	1928
230	6359	1899
231	6382	1870
232	6407	1842
233	6430	1813
234	6454	1785
235	6479	1757
236	6503	1728
237	6525	1700
238	6549	1671
239	6573	1643
240	6596	1614
241	6621	1586
242	6645	1558
243	6669	1530
244	6692	1502
245	6718	1474
246	6742	1446
247	6764	1418
248	6789	1390
249	6812	1362
250	6835	1334
251	6860	1306
252	6888	1279
253	6913	1251
254	6936	1224
255	6960	1196
256	6982	1168
257	7005	1140
258	7027	1112
259	7050	1084
260	7080	1058
261	7104	1030
262	7129	1003
263	7153	975
264	7176	947
265	7199	920
266	7223	892
267	7248	865
268	7272	838
269	7296	810
270	7320	783
271	7343	755
272	7367	728
273	7393	701
274	7418	674
275	7442	647
276	7466	619
277	7491	592
278	7514	565
279	7537	538
280	7561	511
281	7584	484
282	7606	456
283	7629	429
284	7653	402
285	7675	375
286	7704	348
287	7727	321
288	7750	294
289	7773	268
290	7797	241
291	7819	214
292	7843	187
293	7867	160
294	7892	133
295	7914	106
296	7937	80
297	7961	53
298	7984	26
299	8008	0
